name,logo
Hewlett Packard Enterprise,https://media.licdn.com/dms/image/v2/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/company-logo_100_100/0/1630642519868/hewlett_packard_enterprise_logo?e=1737590400&v=beta&t=wUb7gcoZHw3Dzr3c07g76qRATgqdyEuf5199Xtt-V1A
UPS,https://media.licdn.com/dms/image/v2/C4D0BAQFX6tdg3bkrBQ/company-logo_100_100/company-logo_100_100/0/1630543904509/ups_logo?e=1737590400&v=beta&t=RXXzhZ4XCWhbQlXc069PD5BxqYjPPYZNzNeFiFWhAdY
Amazon Web Services (AWS),https://media.licdn.com/dms/image/v2/C560BAQER_QnUTXrPJw/company-logo_100_100/company-logo_100_100/0/1670264051233/amazon_web_services_logo?e=1737590400&v=beta&t=354bj7gCtJWOLFZV5oD5s_wx-RttZUA6QP1Rijp7cnU
AT&T,https://media.licdn.com/dms/image/v2/C560BAQE6Wr9RUG3OuA/company-logo_100_100/company-logo_100_100/0/1631399436556/att_logo?e=1737590400&v=beta&t=yUqmeEAX8mjbtpMJHLplUMXzNyr9xze_cFHTYY8akSQ
The Wall Street Journal,https://media.licdn.com/dms/image/v2/C4D0BAQErTDc9V8YLdg/company-logo_100_100/company-logo_100_100/0/1630536546293/the_wall_street_journal_logo?e=1737590400&v=beta&t=faMbPJ4ROFRoMJtyPbwpsxF0stm7JwyVZO3NbzY2syg
Salesforce,https://media.licdn.com/dms/image/v2/C560BAQHZ9xYomLW7zg/company-logo_100_100/company-logo_100_100/0/1630658255326/salesforce_logo?e=1737590400&v=beta&t=01TkuK5IjPJ9c3NS6_Y-SxNWwj0-neN51KuDpDFM1Bg
Bank of America,https://media.licdn.com/dms/image/v2/C4D0BAQEL1rI2h3XGxg/company-logo_100_100/company-logo_100_100/0/1676325271208/bank_of_america_logo?e=1737590400&v=beta&t=EEZ-fRexM-rG3Z38HIIjtUL03HuCAEgy2id66XpqdsM
Wells Fargo,https://media.licdn.com/dms/image/v2/C4D0BAQGLxWPpGqaVmw/company-logo_100_100/company-logo_100_100/0/1630471638964/wellsfargo_logo?e=1737590400&v=beta&t=pzLsOltbENFh-dEfhpplsfC1bmb6mc_KlHQglC9Sofg
FedEx,https://media.licdn.com/dms/image/v2/D4E0BAQGD5YgN_Px5rA/company-logo_100_100/company-logo_100_100/0/1706893081795/fedex_logo?e=1737590400&v=beta&t=jcu_41xorFZCfiVmNXQ2KyurGuQ38o3Y7Us1BZiGIiY
Adobe,https://media.licdn.com/dms/image/v2/C560BAQFrtK-ioO1rsQ/company-logo_100_100/company-logo_100_100/0/1630645864762/adobe_logo?e=1737590400&v=beta&t=kOOi444U_vVpSMuNielA1WvQw2Rp6pDjkzN_5FLmtIQ
Cognizant,https://media.licdn.com/dms/image/v2/D4E0BAQHjkUYrDIUKYA/company-logo_100_100/company-logo_100_100/0/1719839886088/cognizant_logo?e=1737590400&v=beta&t=DSiYYsTFdp2Z4xtZDKtK0JEXc7o6Y5aUjCfpQhUD65c
Amazon,https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=1737590400&v=beta&t=SDAznfKWVbhZwKEb02_jfXp6TvJZZUaal5_he4EyUfQ
Microsoft,https://media.licdn.com/dms/image/v2/C560BAQE88xCsONDULQ/company-logo_100_100/company-logo_100_100/0/1630652622688/microsoft_logo?e=1737590400&v=beta&t=a5BfYMPshbXnoxiHk30Wl0sC4qhcQk7-W9RQlCJo1ug
Google,https://media.licdn.com/dms/image/v2/C4D0BAQHiNSL4Or29cg/company-logo_100_100/company-logo_100_100/0/1631311446380?e=1737590400&v=beta&t=ngvPgSJ8bXSNCHJI7yPJ1lPy-6xzgaRZd-iSaeVP61s
